Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2e3cJdJ8xWwydl8JIYlCqB,Love Talk - English Version,Love Talk (English Version),WayV,11/5/2019,232150,64,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-05-30T22:40:10Z,"k-pop,c-pop,noise music",LABEL V,0.751,0.719,6,-5.198,0,0.0373,0.142,0,0.148,0.437,98.01,4
spotify:track:6uy9lTlZ3xaMYQPk6eaJaz,RAINBOW,Feel Special,TWICE,9/23/2019,177080,43,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-05-31T00:12:03Z,k-pop,Republic Records - TWICE,0.771,0.849,0,-3.586,1,0.129,0.0236,0.00000549,0.144,0.761,133.994,4
spotify:track:58ItBuVuKc03DvqSeZFnH1,Sacrifice (Eat Me Up),DARK BLOOD,ENHYPEN,5/22/2023,202488,66,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-06-21T23:42:38Z,k-pop,BELIFT LAB,0.536,0.727,0,-4.707,0,0.085,0.444,0,0.102,0.529,68.985,4
spotify:track:2nfluhFVrO5OBXPzRWlwlz,Bills,DARK BLOOD,ENHYPEN,5/22/2023,175752,64,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-06-21T23:42:50Z,k-pop,BELIFT LAB,0.695,0.579,8,-5.895,1,0.0506,0.0435,0,0.134,0.347,88.98,4
spotify:track:5OehhztxLfJeCxUMbFfPy6,Broken Melodies,Broken Melodies,NCT DREAM,6/19/2023,226160,0,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-06-30T12:42:11Z,"k-pop,noise music",SM Entertainment,0.577,0.821,1,-2.984,1,0.0492,0.186,0,0.18,0.392,150.023,4
spotify:track:4vTXBC7QOjEbi8DcJvCNE2,JUMP,HARMONY : ALL IN,P1Harmony,6/8/2023,163280,57,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-06-30T19:28:40Z,"k-pop,noise music",FNC ENTERTAINMENT,0.793,0.672,2,-5.196,1,0.061,0.0343,0,0.1,0.573,121.004,4
spotify:track:5bdmWBCaiaHk2HbqKOXLyJ,Underwater,Lethality,KWON EUNBI,10/12/2022,170600,52,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-07-03T02:00:54Z,k-pop,Woollim Entertainment,0.751,0.929,10,-1.213,0,0.0585,0.0733,0.0000237,0.0833,0.678,115.018,4
spotify:track:26vtFc2QpDI4yZ69B3qC1i,cut my hair,cut my hair,MICO,11/21/2022,176223,60,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-07-03T02:14:51Z,,Wasted Years Ltd.,0.705,0.569,1,-8.096,1,0.0534,0.0476,0,0.129,0.866,142.962,4
spotify:track:0LvDfaAwLu83AJunAWa5Mn,Can't get you out of my mind,［Dystopia : Lose Myself］,Dreamcatcher,8/17/2020,223440,0,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-07-20T23:19:18Z,"k-pop,k-rock",DREAMCATCHER COMPANY,0.701,0.871,11,-3.318,1,0.0353,0.0184,0.0225,0.121,0.56,125.999,4
spotify:track:2LMMPM5a6djUmhoQnjnap2,Pastel,WHEE,Whee In,1/16/2022,142746,39,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-07-25T02:30:24Z,"k-ballad,k-pop",WM Korea,0.728,0.539,1,-6.294,1,0.216,0.361,0.000179,0.165,0.764,80.253,4
spotify:track:3KxYiSZ4n7ih45JtE2T518,No more drama,BLUE;S,MAMAMOO,11/29/2018,190793,39,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-07-25T02:32:25Z,k-pop,"RBW, Inc",0.725,0.826,0,-3.588,0,0.0368,0.113,0,0.126,0.424,116.931,4
spotify:track:0WshHwpU5pCZTBURyqauRP,Close to Me (Eng Version),Close to Me,BLACKSWAN,10/14/2021,197946,12,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-08-29T21:58:19Z,k-pop,㈜디알뮤직,0.737,0.859,5,-1.866,0,0.0616,0.0132,0,0.0918,0.592,125.063,4
spotify:track:7kaFsQygyiCqRboWCXztxZ,Do It Like That,Do It Like That,TOMORROW X TOGETHER;Jonas Brothers,7/7/2023,145065,58,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-09-02T21:07:17Z,k-pop,Republic Records - TXT,0.772,0.921,5,-3.221,0,0.0531,0.0103,0,0.334,0.842,119.992,4
spotify:track:7KK7A6niqD66y0duJ6iupC,Back for More (with Anitta) (House Remix),Back for More (More Edition),TOMORROW X TOGETHER;Anitta,9/18/2023,139419,29,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-09-21T21:28:10Z,"k-pop,brazilian pop,funk pop,brazilian funk,funk carioca",Republic Records - TXT,0.752,0.672,11,-5.674,0,0.0442,0.00737,0.00000103,0.0699,0.824,121.934,4
